offer_ref_no,grade,Campus_Offer,Work_Experience,Days_to_Accept_Offer,Offer_Revised,Status,Offer_to_startdate,Group,Candidate_Source,Gender,Joining_Bonus,Relocation,Offer_above_Budget,Reason_to_hire,Start_date_extension,No_Previous_employers,Start_Location
3602,E3,N,4,34,N,Joined,30,U,Direct,M,N,N,N,Backfill,N,2,Pune
3603,E4,N,7,34,N,Joined,35,E,Direct,M,Y,Y,Y,Backfill,N,1,Pune
3604,E2,N,2,13,N,Joined,30,E,Direct,F,Y,Y,N,Backfill,N,2,Pune
3605,E3,N,3,7,N,Offer_Decline,30,U,Direct,F,N,Y,N,Incremental,N,1,Pune
3606,E1,Y,0,8,N,Offer_Decline,NA,E,Campus,F,N,N,N,Backfill,N,2,Pune
3608,E2,N,3,6,N,Joined,43,E,Coding_Contest,M,Y,N,N,Incremental,N,1,Bangalore
3609,E1,Y,0,10,N,Joined,NA,E,Campus,M,N,N,N,Backfill,N,2,Mumbai
3614,E3,N,5,2,N,Joined,40,E,Coding_Contest,M,Y,Y,N,Incremental,N,1,New Delhi
3615,E2,N,4,13,N,Joined,60,E,Coding_Contest,M,Y,Y,N,Incremental,N,1,Pune
3616,E1,N,2,13,N,Joined,30,E,Coding_Contest,M,Y,Y,N,Incremental,N,1,Pune
3617,E1,Y,0,14,N,Joined,NA,E,Campus,F,N,N,Y,Incremental,N,2,Pune
3618,E1,Y,0,13,N,Joined,NA,E,Campus,F,N,N,N,Incremental,N,3,Pune
3621,E5,N,18,15,N,Joined,35,P,Coding_Contest,F,N,N,N,Incremental,N,1,Pune
3623,E1,Y,0,10,N,Joined,NA,E,Campus,M,N,Y,N,Incremental,N,1,Pune
3625,E1,Y,0,13,Y,Joined,NA,E,Campus,M,N,Y,Y,Incremental,N,2,Pune
3626,E1,Y,0,12,N,Offer_Decline,NA,E,Campus,M,N,Y,N,Incremental,N,1,Pune
3627,E1,Y,0,2,N,Offer_Decline,NA,E,Campus,M,N,N,N,Backfill,N,1,Pune
3628,E4,N,5,7,N,Joined,35,E,Coding_Contest,M,Y,N,N,Incremental,N,1,Pune
3629,E1,N,1,15,Y,Offer_Decline,90,E,Coding_Contest,M,Y,N,N,Incremental,N,1,Bangalore
3630,E1,Y,0,3,N,Joined,NA,E,Campus,M,N,Y,N,Incremental,N,2,Mumbai
3636,E1,Y,0,11,N,Joined,NA,E,Campus,M,N,Y,Y,Backfill,N,1,New Delhi
3637,E1,N,2,12,N,Joined,40,E,Coding_Contest,M,Y,Y,N,Backfill,N,1,Pune
3640,E3,N,5,4,N,Joined,30,P,Coding_Contest,M,N,N,N,Backfill,N,1,Pune
3641,E3,N,5,11,N,Joined,30,E,Coding_Contest,M,Y,N,Y,Incremental,Y,1,Pune
3642,E3,N,4,13,N,Offer_Decline,30,C,Coding_Contest,M,N,N,Y,Backfill,N,1,Pune
3644,E6,N,17,6,N,Joined,35,U,Coding_Contest,F,N,N,Y,Incremental,N,1,Pune
3645,E2,N,3,9,N,Joined,60,E,Coding_Contest,M,Y,N,N,Backfill,Y,2,Pune
3646,E1,Y,0,1,N,Joined,NA,C,Campus,M,N,N,N,Incremental,Y,1,Pune
3648,E1,N,1,2,N,Joined,60,E,Sourcing_portal,M,Y,Y,N,Backfill,Y,1,Pune
3651,E1,Y,0,12,N,Joined,NA,E,Campus,F,N,Y,N,Backfill,N,1,Pune
3653,E6,N,13,7,N,Joined,35,B,Sourcing_portal,F,N,Y,N,Backfill,N,1,Bangalore
3654,E1,Y,0,2,N,Joined,NA,E,Campus,F,N,Y,N,Incremental,N,1,Mumbai
3655,E2,N,4,10,N,Joined,60,E,Sourcing_portal,M,Y,Y,N,Backfill,N,1,New Delhi
3659,E1,N,2,8,N,Joined,75,E,Sourcing_portal,M,Y,Y,Y,Incremental,N,1,Pune
3662,E1,Y,0,4,N,Joined,NA,E,Campus,M,N,Y,N,Backfill,N,2,Pune
3664,E3,N,6,3,N,Joined,30,U,Sourcing_portal,M,N,Y,N,Incremental,N,1,Pune
3666,E6,N,9,6,N,Joined,35,P,Sourcing_portal,M,N,N,N,Backfill,N,2,Pune
3668,E3,N,6,11,N,Joined,30,E,Sourcing_portal,F,Y,N,N,Backfill,N,3,Pune
3669,E1,Y,0,10,N,Offer_Decline,NA,E,Campus,F,N,Y,Y,Backfill,N,0,Bangalore
3673,E1,Y,0,15,N,Joined,NA,E,Campus,F,N,Y,N,Incremental,N,0,Mumbai
3674,E1,Y,0,15,N,Joined,NA,E,Campus,M,N,Y,N,Backfill,N,0,New Delhi
3675,E1,Y,0,5,N,Joined,NA,E,Campus,M,N,N,N,Incremental,N,0,Pune
3677,E1,Y,0,12,N,Joined,NA,E,Campus,M,N,N,N,Backfill,N,0,Pune
3678,E1,Y,0,10,N,Joined,NA,E,Campus,M,N,N,Y,Incremental,N,0,Pune
3681,E4,N,9,15,N,Joined,35,U,Sourcing_portal,M,N,Y,N,Backfill,N,4,Pune
3683,E2,N,4,2,Y,Joined,45,E,Sourcing_portal,M,Y,Y,Y,Incremental,N,2,New Delhi
3684,E1,Y,0,5,N,Joined,NA,E,Campus,M,N,Y,N,Backfill,N,0,Pune
3685,E1,Y,0,11,N,Joined,NA,E,Campus,M,N,N,Y,Incremental,N,0,Pune
3686,E1,Y,0,8,N,Joined,NA,E,Campus,M,N,N,N,Backfill,N,0,Pune
3689,E3,N,3,13,N,Joined,40,U,Direct,M,N,N,N,Incremental,N,1,New Delhi
3690,E3,N,6,3,N,Joined,30,E,Direct,M,Y,Y,Y,Incremental,N,1,Pune
3693,E1,N,1,7,N,Joined,90,E,Direct,M,Y,Y,Y,Backfill,N,1,Bangalore
3694,E1,Y,0,3,N,Joined,NA,E,Campus,F,N,Y,Y,Incremental,N,1,Mumbai
3696,E1,N,2,1,N,Joined,40,E,Sourcing_portal,M,Y,N,N,Backfill,N,2,New Delhi
3697,E2,N,4,2,N,Joined,60,E,Sourcing_portal,M,Y,N,N,Backfill,Y,3,Pune
3699,E1,Y,0,3,N,Offer_Decline,NA,E,Campus,M,N,N,N,Backfill,N,1,Pune
3700,E1,N,1,7,N,Joined,30,E,Employee_Referral,F,Y,Y,N,Incremental,N,1,Pune
3703,E2,N,3,2,N,Joined,44,E,Employee_Referral,F,Y,Y,N,Backfill,Y,1,New Delhi
3704,E4,N,8,9,N,Joined,35,E,Employee_Referral,F,Y,Y,N,Incremental,Y,1,New Delhi
3707,E1,Y,0,8,N,Joined,NA,E,Campus,M,N,N,N,Backfill,Y,1,New Delhi
3708,E6,N,18,11,N,Joined,35,U,Sourcing_portal,M,N,N,N,Incremental,N,1,Pune
3709,E3,N,6,6,N,Joined,60,E,Sourcing_portal,M,Y,N,N,Backfill,N,1,Pune
3711,E2,N,2,9,N,Joined,60,E,Direct,M,Y,N,N,Incremental,N,1,Pune
3714,E1,N,1,6,N,Offer_Decline,60,E,Sourcing_portal,M,Y,N,N,Backfill,N,1,Bangalore
3715,E1,N,1,13,N,Joined,30,E,Sourcing_portal,F,Y,N,N,Incremental,N,1,Mumbai
3716,E4,N,9,46,Y,Joined,35,E,Direct,F,Y,Y,N,Backfill,N,2,New Delhi
3717,E4,N,10,12,N,Joined,35,E,Sourcing_portal,F,Y,Y,N,Incremental,N,2,Pune
3722,E1,Y,0,4,N,Joined,NA,E,Campus,M,N,Y,N,Incremental,N,1,Pune
3724,E2,N,3,15,N,Joined,35,E,Direct,M,Y,Y,N,Incremental,N,1,Pune
3725,E5,N,15,1,Y,Offer_Decline,35,E,Direct,M,Y,Y,N,Incremental,N,1,Pune
3726,E1,N,1,2,N,Joined,40,E,Direct,M,Y,Y,N,Incremental,Y,1,Bangalore
3728,E1,N,2,2,N,Offer_Decline,60,E,Direct,M,Y,Y,N,Incremental,Y,1,Bangalore
3729,E1,Y,0,13,Y,Joined,NA,B,Campus,M,N,Y,N,Incremental,Y,1,Bangalore
3730,E3,N,5,8,N,Joined,40,P,Employee_Referral,M,N,N,N,Incremental,Y,1,Bangalore
3732,E3,N,4,14,N,Joined,40,E,Employee_Referral,M,Y,N,Y,Incremental,Y,1,Bangalore
3734,E1,Y,0,12,N,Joined,NA,E,Campus,M,N,Y,N,Incremental,N,1,Bangalore
3738,E2,N,2,8,N,Joined,30,E,Direct,M,Y,Y,N,Backfill,Y,1,Bangalore
3740,E3,N,4,8,N,Joined,40,P,Employee_Referral,M,N,Y,Y,Incremental,N,1,Bangalore
3746,E5,N,16,11,Y,Offer_Decline,35,E,Sourcing_portal,M,Y,N,Y,Incremental,Y,1,New Delhi
3747,E4,N,7,13,N,Joined,35,E,Sourcing_portal,F,Y,N,Y,Incremental,Y,1,New Delhi
3748,E1,Y,0,10,N,Joined,NA,E,Campus,M,N,N,N,Backfill,N,2,New Delhi
3749,E1,N,1,12,N,Joined,40,E,Direct,M,Y,Y,N,Backfill,N,1,New Delhi
3751,E3,N,6,8,N,Joined,30,B,Employee_Referral,M,N,Y,N,Backfill,N,2,Bangalore
3752,E1,N,1,13,N,Joined,45,E,Sourcing_portal,F,Y,Y,N,Incremental,N,1,Bangalore
3754,E2,N,3,5,N,Joined,51,E,Sourcing_portal,F,Y,N,N,Backfill,N,2,Bangalore
3756,E3,N,4,12,N,Offer_Decline,30,U,Direct,F,N,N,Y,Incremental,N,1,Bangalore
3759,E1,Y,0,4,N,Joined,NA,E,Campus,M,N,N,N,Backfill,N,2,Mumbai
3760,E2,N,3,13,N,Joined,62,E,Direct,M,Y,Y,N,Incremental,N,1,Pune
3766,E3,N,3,10,N,Joined,40,E,Employee_Referral,M,Y,Y,N,Incremental,Y,2,Bangalore
3767,E3,N,3,5,N,Joined,40,E,Sourcing_portal,M,Y,Y,Y,Incremental,N,1,Bangalore
3768,E4,N,10,15,N,Offer_Decline,35,E,Sourcing_portal,M,Y,N,N,Incremental,Y,1,Bangalore
3770,E1,N,1,7,N,Joined,35,E,Sourcing_portal,F,Y,N,N,Incremental,N,1,Mumbai
3771,E1,Y,0,9,N,Joined,NA,E,Campus,F,N,N,N,Incremental,N,2,Bangalore
3772,E1,Y,0,1,N,Joined,NA,E,Campus,F,N,Y,N,Incremental,N,3,Bangalore
3773,E1,Y,0,3,N,Joined,NA,E,Campus,M,N,Y,N,Incremental,N,1,Bangalore
3777,E1,Y,0,4,N,Joined,NA,E,Campus,M,N,Y,N,Incremental,Y,1,Bangalore
3778,E2,N,3,9,N,Joined,60,E,Employee_Referral,M,Y,N,N,Incremental,Y,2,Bangalore
3782,E2,N,3,11,Y,Offer_Decline,30,E,Sourcing_portal,M,Y,N,N,Incremental,Y,1,Bangalore
3785,E2,N,3,15,N,Joined,34,E,Direct,M,Y,N,N,Incremental,Y,1,Bangalore
3786,E6,N,11,1,N,Joined,35,E,Sourcing_portal,M,Y,N,N,Incremental,Y,1,Bangalore
3791,E1,N,2,3,N,Joined,90,E,Direct,M,Y,N,N,Backfill,Y,1,Mumbai
3792,E1,Y,0,3,N,Offer_Decline,NA,E,Campus,M,N,N,N,Incremental,Y,2,Pune
3794,E1,Y,0,2,N,Offer_Decline,NA,E,Campus,M,N,Y,N,Incremental,Y,1,Pune
3797,E2,N,4,6,N,Joined,60,E,Direct,M,Y,Y,N,Incremental,Y,1,Pune
3801,E1,Y,0,12,N,Joined,NA,E,Campus,F,N,Y,N,Backfill,Y,1,Pune
3804,E3,N,3,3,N,Joined,30,U,Employee_Referral,F,N,Y,N,Backfill,Y,1,Pune
3806,E2,N,4,12,Y,Joined,46,E,Sourcing_portal,F,Y,Y,N,Backfill,N,1,Bangalore
3809,E3,N,4,11,N,Joined,40,P,Direct,F,N,Y,N,Incremental,N,1,Mumbai
3811,E2,N,4,2,N,Joined,40,E,Sourcing_portal,F,Y,Y,N,Backfill,N,2,New Delhi
3812,E1,Y,0,7,N,Joined,NA,E,Campus,F,N,Y,Y,Incremental,N,1,Pune
3813,E4,N,6,12,Y,Offer_Decline,35,E,Direct,F,Y,N,N,Backfill,N,1,Pune
3815,E1,Y,0,15,N,Joined,NA,E,Campus,F,N,N,N,Incremental,N,1,Pune
3821,E1,Y,0,7,N,Joined,NA,E,Campus,F,N,Y,N,Incremental,N,1,Pune
3826,E3,N,3,24,N,Joined,30,B,Direct,F,N,Y,N,Incremental,N,1,Pune
3830,E4,N,10,9,N,Joined,35,U,Direct,F,N,Y,N,Incremental,N,1,Bangalore
3831,E1,Y,0,15,N,Joined,NA,E,Campus,F,N,N,N,Backfill,N,1,Mumbai
3832,E2,N,3,11,N,Joined,37,E,Sourcing_portal,F,Y,N,N,Incremental,N,2,New Delhi
3835,E4,N,7,14,N,Joined,35,E,Sourcing_portal,F,Y,N,N,Incremental,N,1,Pune
3836,E1,Y,0,2,N,Joined,NA,E,Campus,F,N,Y,N,Incremental,N,1,Pune
3837,E1,N,1,12,N,Joined,90,E,Sourcing_portal,F,Y,Y,N,Incremental,N,1,Pune
3838,E1,Y,0,11,N,Joined,NA,C,Campus,F,N,Y,N,Incremental,N,2,Mumbai
3841,E1,Y,0,5,N,Joined,NA,E,Campus,F,N,N,Y,Incremental,N,2,Pune
3842,E1,Y,0,2,N,Offer_Decline,NA,E,Campus,F,N,N,N,Incremental,N,1,Pune
3844,E1,N,1,5,N,Joined,90,E,Sourcing_portal,M,Y,N,N,Incremental,N,1,Mumbai
3849,E4,N,10,10,N,Joined,35,B,Sourcing_portal,F,N,Y,N,Incremental,N,1,Pune
3850,E6,N,17,15,Y,Offer_Decline,35,P,Sourcing_portal,M,N,Y,N,Incremental,N,1,Pune
3851,E5,N,9,14,N,Joined,35,B,Sourcing_portal,F,N,Y,N,Incremental,Y,1,Pune
3852,E1,Y,0,7,N,Joined,NA,E,Campus,M,N,N,N,Incremental,Y,1,Bangalore
3854,E1,N,1,14,N,Joined,60,E,Sourcing_portal,F,Y,N,N,Incremental,Y,2,Mumbai
3856,E6,N,19,2,Y,Joined,35,U,Sourcing_portal,M,N,N,N,Incremental,Y,1,New Delhi
3857,E1,N,2,15,N,Offer_Decline,33,E,Sourcing_portal,F,Y,Y,N,Incremental,Y,1,Pune
3858,E2,N,3,7,N,Joined,60,E,Sourcing_portal,M,Y,Y,N,Incremental,N,1,Pune
3860,E1,Y,0,13,N,Joined,NA,E,Campus,F,N,Y,N,Backfill,Y,1,Pune
3862,E2,N,3,8,N,Joined,59,E,Sourcing_portal,M,Y,N,N,Incremental,N,1,Pune
3864,E2,N,3,3,Y,Joined,60,E,Sourcing_portal,F,Y,N,N,Incremental,Y,2,Pune
3866,E2,N,4,3,N,Joined,60,E,Sourcing_portal,M,Y,N,N,Incremental,Y,1,Pune
3868,E1,Y,0,13,N,Offer_Decline,NA,E,Campus,M,N,N,N,Incremental,N,1,Pune
3874,E1,Y,0,13,N,Joined,NA,E,Campus,M,N,N,N,Incremental,N,0,Bangalore
3878,E1,Y,0,3,N,Joined,NA,E,Campus,M,N,N,N,Incremental,N,0,Mumbai
3879,E1,Y,0,13,Y,Joined,NA,E,Campus,M,N,Y,N,Incremental,N,0,New Delhi
3881,E1,Y,0,9,N,Joined,NA,E,Campus,M,N,Y,N,Incremental,N,0,Pune
3888,E1,N,1,15,Y,Offer_Decline,60,E,Direct,M,Y,Y,N,Incremental,N,1,Pune
3889,E2,N,2,6,N,Joined,63,E,Direct,M,Y,Y,N,Incremental,N,1,Pune
3890,E1,N,1,14,N,Joined,75,E,Direct,M,Y,Y,Y,Incremental,N,1,Pune
3892,E5,N,18,11,Y,Joined,35,E,Direct,M,Y,Y,N,Incremental,Y,1,Mumbai
3893,E2,N,2,1,N,Joined,34,E,Direct,F,Y,Y,N,Incremental,N,2,Pune
3894,E6,N,8,8,N,Joined,35,B,Direct,F,N,Y,Y,Incremental,Y,3,Mumbai
3896,E2,N,4,6,N,Offer_Decline,60,E,Direct,F,Y,N,Y,Incremental,N,1,Pune
3901,E6,N,12,12,Y,Joined,35,E,Direct,F,Y,N,Y,Incremental,N,1,Pune
3905,E1,Y,0,10,N,Joined,NA,E,Campus,F,N,Y,N,Backfill,N,1,Pune
3906,E1,N,2,13,N,Joined,60,E,Sourcing_portal,F,Y,Y,N,Incremental,N,1,Bangalore
3911,E4,N,5,8,N,Joined,35,E,Sourcing_portal,F,Y,Y,N,Incremental,Y,1,Mumbai
3914,E3,N,5,6,N,Offer_Decline,35,E,Sourcing_portal,F,Y,N,N,Incremental,Y,1,New Delhi
3916,E3,N,6,12,N,Joined,30,U,Sourcing_portal,F,N,N,N,Incremental,Y,1,Pune
3923,E4,N,8,2,N,Joined,35,E,Sourcing_portal,F,Y,N,N,Incremental,Y,1,Pune
3924,E1,Y,0,1,N,Joined,NA,E,Campus,F,N,Y,N,Incremental,Y,1,Pune
3925,E5,N,13,7,N,Offer_Decline,35,E,Direct,F,Y,Y,N,Incremental,Y,1,Mumbai
3928,E1,N,2,8,N,Joined,40,E,Direct,F,Y,Y,Y,Incremental,Y,2,Pune
3929,E1,N,2,8,N,Joined,60,E,Direct,F,Y,N,N,Incremental,Y,2,Pune
3936,E4,N,8,3,N,Joined,35,E,Direct,F,Y,N,N,Incremental,Y,1,Pune
3937,E2,N,2,6,N,Joined,69,E,Direct,F,Y,N,N,Incremental,Y,1,Pune
3939,E1,Y,0,1,N,Joined,NA,E,Campus,F,N,Y,N,Incremental,Y,1,Pune
3941,E1,Y,0,11,N,Joined,NA,E,Campus,F,N,Y,N,Incremental,N,1,Bangalore
3943,E2,N,4,6,N,Joined,66,E,Coding_Contest,F,Y,Y,N,Incremental,N,1,Mumbai
3946,E4,N,6,4,N,Joined,35,E,Coding_Contest,M,Y,N,Y,Incremental,N,1,New Delhi
3958,E1,Y,0,9,N,Offer_Decline,NA,E,Campus,F,N,N,N,Incremental,N,1,Pune
3959,E1,Y,0,6,N,Joined,NA,E,Campus,M,N,N,N,Backfill,N,1,Pune
3960,E1,Y,0,12,N,Joined,NA,C,Campus,F,N,Y,N,Incremental,N,1,Pune
3966,E1,N,2,9,N,Offer_Decline,30,E,Coding_Contest,M,Y,Y,Y,Incremental,N,1,Pune
3967,E1,Y,0,9,N,Joined,NA,E,Campus,F,N,Y,N,Incremental,N,1,Pune
3970,E1,N,2,6,N,Joined,45,E,Coding_Contest,M,Y,N,N,Incremental,N,1,Bangalore
3971,E2,N,2,6,N,Joined,39,E,Coding_Contest,F,Y,N,N,Incremental,N,1,Mumbai
3973,E2,N,3,7,Y,Joined,49,E,Coding_Contest,M,Y,N,N,Incremental,N,2,New Delhi
3974,E1,Y,0,8,N,Joined,NA,C,Campus,F,N,N,N,Incremental,N,1,Pune
3978,E3,N,6,3,N,Joined,30,E,Direct,M,Y,N,N,Incremental,N,2,Pune
3983,E1,N,1,8,N,Joined,42,E,Direct,F,Y,N,N,Incremental,N,1,Pune
3984,E3,N,3,2,N,Joined,35,E,Direct,M,Y,Y,N,Incremental,N,2,Pune
3986,E3,N,6,10,N,Joined,35,E,Direct,M,Y,Y,N,Incremental,N,1,Pune
3989,E4,N,6,17,N,Offer_Decline,35,E,Direct,M,Y,Y,N,Incremental,N,2,Pune
3998,E4,N,7,6,N,Joined,35,E,Direct,M,Y,Y,N,Incremental,N,1,Pune
4001,E2,N,4,2,N,Joined,30,E,Direct,M,Y,Y,N,Incremental,N,2,Mumbai
4007,E4,N,8,22,Y,Joined,35,E,Direct,M,Y,Y,N,Incremental,N,1,Pune
4008,E5,N,14,6,N,Joined,35,E,Direct,M,Y,Y,N,Incremental,N,1,Pune
4009,E4,N,6,1,N,Joined,35,U,Direct,M,N,Y,N,Backfill,N,1,Bangalore
4012,E1,Y,0,1,N,Joined,NA,E,Campus,M,N,N,N,Incremental,N,2,Mumbai
4013,E5,N,19,6,Y,Joined,35,U,Coding_Contest,M,N,N,Y,Backfill,N,3,New Delhi
4014,E1,Y,0,4,N,Offer_Decline,NA,C,Campus,F,N,Y,N,Incremental,N,1,Pune
4022,E2,N,2,6,N,Joined,60,E,Coding_Contest,F,Y,Y,N,Backfill,N,1,Pune
4025,E1,Y,0,1,N,Joined,NA,E,Campus,F,N,Y,N,Incremental,Y,2,Pune
4030,E2,N,2,13,N,Joined,60,E,Coding_Contest,F,Y,N,N,Backfill,N,1,Pune
4034,E1,Y,0,12,N,Joined,NA,E,Campus,F,N,N,N,Incremental,N,1,Pune
4036,E2,N,2,1,N,Joined,34,E,Coding_Contest,F,Y,N,N,Backfill,Y,1,Pune
4038,E2,N,3,13,N,Joined,23,E,Coding_Contest,F,Y,Y,N,Incremental,Y,1,Pune
4039,E1,Y,0,10,N,Offer_Decline,NA,E,Campus,F,N,Y,N,Backfill,Y,2,Pune
4040,E1,Y,0,3,N,Joined,NA,E,Campus,F,N,Y,N,Incremental,N,1,Pune
4041,E1,Y,0,12,N,Joined,NA,E,Campus,F,N,N,N,Incremental,N,1,Bangalore
4042,E2,N,3,12,N,Joined,37,E,Coding_Contest,F,Y,N,N,Backfill,N,1,Mumbai
4046,E1,Y,0,9,N,Joined,NA,E,Campus,F,N,N,N,Incremental,N,1,New Delhi
4047,E1,N,1,9,N,Joined,30,E,Coding_Contest,F,Y,Y,N,Backfill,N,1,Pune
4049,E2,N,3,13,N,Joined,60,E,Coding_Contest,F,Y,Y,N,Backfill,N,1,Pune
4050,E1,N,1,12,N,Joined,75,E,Coding_Contest,F,Y,Y,N,Backfill,N,2,Pune
4053,E1,Y,0,5,N,Joined,NA,E,Campus,F,N,N,N,Incremental,N,1,Pune
4055,E1,Y,0,15,N,Joined,NA,C,Campus,F,N,N,N,Backfill,N,1,Bangalore
4061,E1,Y,0,6,N,Joined,NA,E,Campus,F,N,N,N,Incremental,N,1,Bangalore
4063,E2,N,2,6,N,Offer_Decline,40,E,Sourcing_portal,F,Y,Y,N,Backfill,N,1,Bangalore
4064,E6,N,11,15,Y,Joined,35,P,Sourcing_portal,M,N,Y,N,Incremental,N,1,Bangalore
4066,E3,N,3,3,N,Joined,35,U,Sourcing_portal,F,N,Y,N,Backfill,N,1,Mumbai
4070,E1,Y,0,2,N,Joined,NA,E,Campus,M,N,N,N,Incremental,N,1,Bangalore
4072,E1,Y,0,10,N,Joined,NA,E,Campus,F,N,N,N,Backfill,N,2,Bangalore
4074,E3,N,5,3,N,Joined,40,P,Sourcing_portal,M,N,N,N,Incremental,N,1,Bangalore
4076,E2,N,2,5,N,Offer_Decline,60,E,Sourcing_portal,F,Y,N,Y,Backfill,N,1,Bangalore
4079,E1,Y,0,10,N,Joined,NA,E,Campus,M,N,N,N,Incremental,N,1,Mumbai
4082,E1,Y,0,10,N,Joined,NA,B,Campus,F,N,N,N,Incremental,N,2,Bangalore
4083,E1,N,1,4,N,Joined,32,E,Coding_Contest,M,Y,Y,N,Incremental,N,2,Bangalore
4084,E2,N,4,11,N,Joined,40,E,Coding_Contest,F,Y,Y,N,Incremental,N,1,Pune
4087,E3,N,6,5,N,Joined,35,E,Coding_Contest,M,Y,Y,N,Incremental,N,1,Bangalore
4088,E3,N,6,5,N,Joined,40,P,Coding_Contest,F,N,Y,N,Backfill,N,1,Bangalore
4092,E4,N,10,15,Y,Joined,35,E,Coding_Contest,M,Y,Y,Y,Incremental,N,1,Bangalore
4096,E1,N,2,34,N,Joined,40,E,Coding_Contest,M,Y,Y,N,Incremental,N,1,Mumbai
4097,E2,N,2,5,N,Joined,30,E,Coding_Contest,M,Y,Y,N,Incremental,Y,1,Pune
4103,E2,N,4,10,N,Offer_Decline,43,E,Coding_Contest,M,Y,Y,N,Backfill,N,2,Bangalore
4105,E1,N,2,7,N,Joined,90,E,Coding_Contest,M,Y,N,N,Backfill,N,1,Bangalore
4107,E1,Y,0,3,N,Joined,NA,E,Campus,F,N,N,N,Backfill,Y,1,Bangalore
4110,E1,N,1,12,N,Joined,30,E,Employee_Referral,F,Y,Y,N,Incremental,Y,1,Bangalore
4112,E1,Y,0,3,N,Joined,NA,E,Campus,F,N,Y,N,Backfill,Y,1,Bangalore
4115,E1,Y,0,12,N,Joined,NA,E,Campus,M,N,Y,N,Incremental,N,1,Bangalore
4116,E1,Y,0,14,N,Joined,NA,E,Campus,M,N,N,N,Backfill,N,2,Bangalore
4121,E1,Y,0,4,N,Joined,NA,E,Campus,M,N,N,N,Incremental,N,1,Bangalore
4122,E2,N,3,9,N,Offer_Decline,21,E,Employee_Referral,M,Y,N,N,Incremental,N,1,Bangalore
4128,E2,N,2,5,N,Joined,60,E,Employee_Referral,M,Y,Y,N,Incremental,N,1,Bangalore
4133,E1,Y,0,9,N,Joined,NA,E,Campus,M,N,Y,N,Incremental,N,1,Bangalore
4134,E1,Y,0,3,N,Joined,NA,E,Campus,M,N,Y,N,Incremental,N,1,Bangalore
4136,E1,Y,0,10,N,Joined,NA,E,Campus,M,N,N,Y,Incremental,N,1,Mumbai
4138,E3,N,3,5,N,Joined,30,E,Employee_Referral,M,Y,N,N,Incremental,N,2,Pune
4144,E2,N,3,3,N,Joined,60,E,Employee_Referral,M,Y,N,N,Incremental,N,3,Pune
4146,E1,Y,0,8,N,Joined,NA,E,Campus,M,N,Y,N,Incremental,Y,1,Pune
4149,E3,N,6,4,N,Joined,30,P,Direct,M,N,Y,N,Incremental,Y,1,Pune
4151,E2,N,4,3,N,Joined,60,E,Employee_Referral,F,Y,Y,N,Incremental,Y,1,Pune
4153,E2,N,2,13,N,Joined,38,E,Sourcing_portal,M,Y,N,N,Incremental,Y,1,Bangalore
4154,E1,Y,0,8,N,Joined,NA,E,Campus,M,N,N,N,Incremental,Y,1,Mumbai
4155,E4,N,7,14,N,Offer_Decline,35,B,Direct,M,N,N,Y,Backfill,N,1,New Delhi
4157,E2,N,4,6,N,Joined,30,E,Employee_Referral,F,Y,Y,N,Incremental,Y,1,Pune
4158,E1,Y,0,3,N,Joined,NA,E,Campus,F,N,Y,Y,Incremental,N,1,Pune
4164,E2,N,3,4,N,Joined,36,E,Direct,F,Y,Y,N,Incremental,Y,1,Pune
4165,E3,N,6,15,N,Joined,30,U,Employee_Referral,M,N,N,N,Backfill,Y,1,Pune
4167,E1,N,1,12,N,Joined,40,E,Direct,M,Y,N,N,Backfill,N,2,Pune
4169,E4,N,5,6,N,Offer_Decline,35,E,Employee_Referral,M,Y,N,Y,Backfill,N,2,Bangalore
4172,E3,N,6,7,N,Joined,40,U,Employee_Referral,M,N,N,N,Incremental,N,1,Mumbai
4173,E1,N,2,6,N,Joined,60,E,Employee_Referral,M,Y,N,N,Backfill,N,1,New Delhi
4176,E1,Y,0,15,N,Joined,NA,E,Campus,F,N,N,Y,Incremental,N,1,Pune
4178,E1,Y,0,12,N,Joined,NA,E,Campus,F,N,Y,N,Backfill,N,1,Pune
4179,E2,N,3,14,N,Joined,60,E,Sourcing_portal,F,Y,Y,N,Incremental,N,1,Pune
4180,E3,N,3,3,N,Offer_Decline,30,U,Sourcing_portal,M,N,Y,N,Incremental,N,1,Pune
4183,E1,Y,0,11,Y,Joined,NA,E,Campus,M,N,Y,N,Incremental,Y,1,Pune
4187,E1,Y,0,4,N,Joined,NA,E,Campus,F,N,Y,N,Incremental,N,1,Pune
4190,E6,N,10,8,N,Offer_Decline,35,E,Sourcing_portal,M,Y,Y,N,Backfill,Y,1,Pune
4191,E1,Y,0,7,N,Joined,NA,E,Campus,M,N,Y,N,Incremental,N,1,Pune
4192,E1,Y,0,1,N,Joined,NA,E,Campus,M,N,Y,N,Incremental,N,1,Pune
4193,E4,N,9,2,N,Joined,35,E,Sourcing_portal,F,Y,N,N,Incremental,N,1,Pune
4194,E1,Y,0,13,N,Joined,NA,E,Campus,F,N,N,N,Incremental,N,1,Bangalore
4203,E1,N,1,50,Y,Joined,36,E,Sourcing_portal,F,Y,Y,N,Incremental,Y,2,Mumbai
4207,E1,Y,0,9,N,Joined,NA,E,Campus,M,N,Y,Y,Incremental,Y,1,New Delhi
